 Description City Street PostalCode Country Longitude Latitude isOwnedByWall isHandicappedAccessible Price canBePayedWithCoins canBePayedInApp canBePayedWithNFC hasChangingTable LabelID
136 "Wall CT, Alt-Tegel" Berlin Alt-Tegel 13507 Deutschland 13.2827884563623 52.5898527733733 1 1 "50 Cent" 1 0 1 0 "City Toilette"
137 "Wall CT, Am Treptower Park" Berlin "Am Treptower Park" 12435 Deutschland 13.464374587928 52.4874667583911 1 1 "50 Cent" 1 0 1 0 "City Toilette"
138 "Wall CT, Berliner Allee" Berlin "Berliner Allee" 13086 Deutschland 13.4662555638586 52.5526148501705 1 1 "50 Cent" 1 0 1 0 "City Toilette"
139 "Wall CT, Klausenerplatz" Berlin Klausenerplatz 14059 Deutschland 13.290356505 52.51879627 1 1 "50 Cent" 1 0 1 0 "City Toilette"
140 "Wall CT, Potsdamer Str." Berlin "Potsdamer Str." 10785 Deutschland 13.3630616908073 52.4998790525937 1 1 "50 Cent" 1 0 1 0 "City Toilette"
141 "Wall CT, Lausitzer Platz" Berlin "Lausitzer Platz" 10997 Deutschland 13.4303110155598 52.4999602368727 1 1 "50 Cent" 1 0 1 0 "City Toilette"
142 "Wall CT, S-Bhf. Friedrichshagen, Dahlwitzer Landstr." Berlin "S-Bhf. Friedrichshagen, Dahlwitzer Landstr." 12587 Deutschland 13.62535 52.457726 1 1 "50 Cent" 1 0 1 0 "City Toilette"
143 "Wall CT, Weitlingstr." Berlin Weitlingstr. 10317 Deutschland 13.4997915356227 52.5110008046843 1 1 "50 Cent" 1 0 1 0 "City Toilette"
144 "Wall CT, S-Bhf. Pankow DB Florastr., Garbatyplatz" Berlin "S-Bhf. Pankow DB Florastr., Garbatyplatz" 13187 Deutschland 13.4116505789412 52.5672258921927 1 1 "50 Cent" 1 0 1 0 "City Toilette"
145 "Wall CT, S-u. U-Bhf. Tempelhof, Tempelhofer Damm" Berlin "S-u. U-Bhf. Tempelhof, Tempelhofer Damm" 12099 Deutschland 13.385392 52.470273 1 1 "50 Cent" 1 0 1 0 "City Toilette"
146 "Wall CT, Schillerpromenade" Berlin Schillerpromenade 12049 Deutschland 13.4219992471315 52.4775845145735 1 1 "50 Cent" 1 0 1 0 "City Toilette"
147 "Wall CT, Wichertstr." Berlin Wichertstr. 10439 Deutschland 13.42089017 52.54864128 1 1 "50 Cent" 1 0 1 0 "City Toilette"
148 "Wall CT, Stralsunder Str. (Fußgängerzone)" Berlin "Stralsunder Str. (Fußgängerzone)" 12623 Deutschland 13.3952777777778 52.5397777777778 1 1 "50 Cent" 1 0 1 0 "City Toilette"
149 "Wall CT, Thomashöhe, Thomasstr." Berlin "Thomashöhe, Thomasstr." 12053 Deutschland 13.438905760934 52.4737141412463 1 1 "50 Cent" 1 0 1 0 "City Toilette"
150 "Wall CT, Traveplatz, Weichselstr." Berlin "Traveplatz, Weichselstr." 10247 Deutschland 13.4690242763962 52.511231535323 1 1 "50 Cent" 1 0 1 0 "City Toilette"
151 "Wall CT, Turmstr." Berlin Turmstr. 10178 Deutschland 13.3480949658845 52.526093090526 1 1 "50 Cent" 1 0 1 0 "City Toilette"
152 "Wall CT, Greenwichpromenade" Berlin Greenwichpromenade 13507 Deutschland 13.2726224566107 52.5890240674968 1 1 "50 Cent" 1 0 1 0 "City Toilette"
153 "Wall CT, Bundesallee, Bundesplatz" Berlin "Bundesallee, Bundesplatz" 10715 Deutschland 13.3282867070272 52.4790069600456 1 1 "50 Cent" 1 0 1 0 "City Toilette"
154 "Wall CT, Buschkrugallee" Berlin Buschkrugallee 12359 Deutschland 13.4520102624736 52.4521577096716 1 1 "50 Cent" 1 0 1 0 "City Toilette"
155 "Wall CT, Comeniusplatz , Torellstr." Berlin "Comeniusplatz , Torellstr." 10243 Deutschland 13.4473361604833 52.5114461688103 1 1 "50 Cent" 1 0 1 0 "City Toilette"
156 "Wall CT, Charlottenstr." Berlin Charlottenstr. 10117 Deutschland 13.3915 52.5141666666667 1 1 "50 Cent" 1 0 1 0 "City Toilette"
157 "Wall CT, Gneisenaustr." Berlin Gneisenaustr. 10961 Deutschland 13.398054 52.490534 1 1 "50 Cent" 1 0 1 0 "City Toilette"
158 "Wall CT, Ungarnstr." Berlin Ungarnstr. 13349 Deutschland 13.35593646 52.555437 1 1 "50 Cent" 1 0 1 0 "City Toilette"
159 "Wall CT, Waltersdorfer Chaussee" Berlin "Waltersdorfer Chaussee" 12355 Deutschland 13.4977403163385 52.4158088417092 1 1 "50 Cent" 1 0 1 0 "City Toilette"
160 "Wall CT, Görlitzer Park, Wiener Str." Berlin "Görlitzer Park, Wiener Str." 10999 Deutschland 13.4391568914807 52.4950580656832 1 1 "50 Cent" 1 0 1 0 "City Toilette"
161 "Wall CT, Helene-Weigel-Platz" Berlin Helene-Weigel-Platz 12681 Deutschland 13.5380301295883 52.5279683889736 1 1 "50 Cent" 1 0 1 0 "City Toilette"
162 "Wall CT, Hans-Rosenthal-Platz , Kufsteiner Str." Berlin "Hans-Rosenthal-Platz , Kufsteiner Str." 10825 Deutschland 13.33693 52.480497 1 1 "50 Cent" 1 0 1 0 "City Toilette"
163 "Wall CT, Greenwichpromenade" Berlin Greenwichpromenade 13507 Deutschland 13.2725972163991 52.5890975626873 1 1 "50 Cent" 1 0 1 0 "City Toilette"
164 "Wall CT, Leopoldplatz, Müllerstr." Berlin "Leopoldplatz, Müllerstr." 13353 Deutschland 13.3586066 52.5470043 1 1 "20 Cent" 1 0 1 0 "City Toilette"
165 "Wall CT, Breite Str." Berlin "Breite Str." 13187 Deutschland 13.4073465278231 52.5702539545699 1 1 "50 Cent" 1 0 1 0 "City Toilette"
166 "Wall CT, Boddinplatz, Mainzer Str." Berlin "Boddinplatz, Mainzer Str." 12053 Deutschland 13.4284121007425 52.4799133489629 1 1 "50 Cent" 1 0 1 0 "City Toilette"
167 "Wall CT, Berkaer Str." Berlin "Berkaer Str." 14199 Deutschland 13.2904180558149 52.4757516888295 1 1 "50 Cent" 1 0 1 0 "City Toilette"
168 "Wall CT, Badensche Str." Berlin "Badensche Str." 10715 Deutschland 13.3274845332077 52.4864769487566 1 1 "50 Cent" 1 0 1 0 "City Toilette"
169 "Wall CT, Wittenbergplatz, Ansbacher Str." Berlin "Wittenbergplatz, Ansbacher Str." 10789 Deutschland 13.3427270609067 52.5024676291825 1 1 "50 Cent" 1 0 1 0 "City Toilette"
170 "Wall CT, Rennbahnstr." Berlin Rennbahnstr. 13086 Deutschland 13.4658943730161 52.5571969543997 1 1 "50 Cent" 1 0 1 0 "City Toilette"
171 "Wall CT, Rathaus Spandau, Altstädter Ring" Berlin "Rathaus Spandau, Altstädter Ring" 13597 Deutschland 13.2004290600801 52.5354700822998 1 1 "20 Cent" 1 0 1 0 "City Toilette"
172 "Wall CT, Invalidenstr." Berlin Invalidenstr. 10117 Deutschland 13.3781628439159 52.5289575745279 1 1 "50 Cent" 1 0 1 0 "City Toilette"
173 "Wall CT, Nöldnerplatz, Archibaldweg" Berlin "Nöldnerplatz, Archibaldweg" 10317 Deutschland 13.48398 52.50302 1 1 "50 Cent" 1 0 1 0 "City Toilette"
174 "Wall CT, Mariendorfer Damm" Berlin "Mariendorfer Damm" 12099 Deutschland 13.3856663883506 52.4443831917401 1 1 "50 Cent" 1 0 1 0 "City Toilette"
175 "Wall CT, Mariendorfer Damm" Berlin "Mariendorfer Damm" 12099 Deutschland 13.3857676503867 52.4443804645445 1 1 "50 Cent" 1 0 1 0 "City Toilette"
176 "Wall CT, Bosepark, Manteuffelstr." Berlin "Bosepark, Manteuffelstr." 12103 Deutschland 13.377623 52.463965 1 1 "50 Cent" 1 0 1 0 "City Toilette"
177 "Wall CT, Ludwigkirchplatz" Berlin Ludwigkirchplatz 10719 Deutschland 13.3223900106436 52.4971413116517 1 1 "50 Cent" 1 0 1 0 "City Toilette"
178 "Wall CT, Londoner Str." Berlin "Londoner Str." 13349 Deutschland 13.33763709 52.55885577 1 1 "50 Cent" 1 0 1 0 "City Toilette"
179 "Wall CT, Pankstr." Berlin Pankstr. 13357 Deutschland 13.3779881541858 52.5506834747608 1 1 "50 Cent" 1 0 1 0 "City Toilette"
180 "Wall CT, Museumsinsel, Am Lustgarten" Berlin "Museumsinsel, Am Lustgarten" 10178 Deutschland 13.3998980761 52.5194673259 1 1 "50 Cent" 1 0 1 0 "City Toilette"
181 "Toilette Osnabrücker Str." Berlin Mierendorffplatz 10589 Deutschland 13.3043888888889 52.5255277777778 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
182 "Toilette Budapester Str." Berlin Breitscheidplatz 10789 Deutschland 13.3361111111111 52.5049444444444 1 1 "50 Cent" 0 0 0 0 WC-Center
183 "Toilette Joachimsthaler Str." Berlin "Joachimsthaler Platz, Kurfürstendamm" 10719 Deutschland 13.3308611111111 52.5033333333333 1 0 "50 Cent" 0 0 0 0 WC-Center
184 "Toilette Olympischer Platz" Berlin "Olympiastadion, Gutsmuthsweg" 14053 Deutschland 13.2440277777778 52.5142222222222 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
185 "Toilette Glockenturmstr. 1" Berlin "Waldbühne/Maifeld, Passenheimer Str." 14053 Deutschland 13.2306388888889 52.5136111111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
186 "Toilette Reichsstr." Berlin Theodor-Heuss-Platz 14052 Deutschland 13.272577 52.509679 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
187 "Toilette Aßmannstr. (Marktplatz Friedrichshagen)" Berlin Bölschestr. 12587 Deutschland 13.6245833333333 52.4506666666667 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
188 "Toilette Spielplatz" Berlin Viktoriapark 10965 Deutschland 13.3778611111111 52.4875 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
189  Berlin Alexanderplatz 10178 Deutschland 13.412954 52.521463 1 1 "50 Cent" 0 0 0 0 WC-Center
190 "Toilette Spandauer Str. (ggü. Nikolaiviertel)" Berlin Rathausstr. 10178 Deutschland 13.4064166666667 52.5184722222222 1 1 "50 Cent" 0 0 0 0 WC-Center
191 "Toilette Gutschmidtstr. (am U-Bhf.)" Berlin "Britz-Süd , Fritz-Reuter-Allee" 12351 Deutschland 13.4473888888889 52.4373611111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
192 "Toilette Sonnenallee" Berlin Elbestr. 12045 Deutschland 13.438239 52.482874 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
193 "Toilette Residenzstr." Berlin "Schäfersee , Am Schäfersee" 13407 Deutschland 13.3638055555556 52.5641666666667 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
194 "Toilette Burscheider Weg" Berlin "Haselhorster Damm" 13599 Deutschland 13.2382777777778 52.5444722222222 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
195 "Toilette Quellweg" Berlin "Jugendplatz , Jugendweg" 13629 Deutschland 13.2698888888889 52.5378472222222 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
196 "Toilette Obstallee" Berlin Magistratsweg 13593 Deutschland 13.1631666666667 52.52125 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
197 "Toilette Breite Str." Berlin Mönchstr. 13597 Deutschland 13.2054861111111 52.5376388888889 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
198 "Toilette Breite Str." Berlin "Spandauer Markt , Markt" 13597 Deutschland 13.2050277777778 52.5368611111111 1 1 "20 Cent" 0 0 0 0 WC-Center
199 "Toilette Holbeinstr. (Ludwig-Beck-Platz)" Berlin Moltkestr. 12203 Deutschland 13.3120833333333 52.4426666666667 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
200 "Toilette Oswald-Schumann-Platz (Tiergarten)" Berlin "Altonaer Str." 10557 Deutschland 13.3452222222222 52.5155555555556 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
201 "Toilette Großer Stern" Berlin "Großer Stern (Haus C) , Str. des 17. Juni" 10785 Deutschland 13.3484166666667 52.5142361111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
202 "Toilette Konstanzer Str." Berlin "Preußenpark , Brandenburgische Str." 10707 Deutschland 13.310916 52.493104 1 1 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
203 "Toilette Livländische Str." Berlin "Volkspark Wilmersdorf , Am Volkspark" 10715 Deutschland 13.326417 52.48288 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
204 "Toilette Anlegestelle Wannsee (hi. Kronprinzessinenweg)" Berlin "Wannsee , Rönnebypromenade" 14109 Deutschland 13.1762222222222 52.4214722222222 1 0 "50 Cent" 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
205 "Toilette Arndtstr." Berlin Chamissoplatz 10965 Deutschland 13.3909027777778 52.4885277777778 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
206 "Toilette Karl-Marx-Str." Berlin Kirchhofstr. 12051 Deutschland 13.4413888888889 52.4715555555556 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
207 "Toilette Fellbacher Str." Berlin "Fellbacher Platz , Heinsestr." 13467 Deutschland 13.3076111111111 52.6161388888889 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
208 "Toilette Schloßstr." Berlin "Berliner Str." 13507 Deutschland 13.283026 52.590697 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
209 "Toilette Mariendorfer Damm" Berlin Friedenstr. 12107 Deutschland 13.386907 52.438695 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
210 "Toilette Havelberger Str." Berlin "Stephanplatz , Stephanstr." 10559 Deutschland 13.3470138888889 52.5335277777778 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
211 "Toilette Oldenburger Str." Berlin "Unionplatz , Siemensstr." 10551 Deutschland 13.3367777777778 52.5332222222222 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
212 "Toilette Kiautschoustr." Berlin "Pekinger Platz , Nordufer" 13353 Deutschland 13.35325 52.5399027777778 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
213 "Toilette Scholzplatz stew. (ex. Scholzplatz)" Berlin Heerstr. 14055 Deutschland 13.2276388888889 52.5065 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
214 "Toilette Wilmersdorfer Str. staw. (Parkplatz)" Berlin Schillerstr. 10625 Deutschland 13.3067361111111 52.5101666666667 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
215 "Toilette Haus Nr. 63-65 (Badestelle Saatwinkel) (ex. Saatwinkel)" Berlin "Im Saatwinkel" 13599 Deutschland 13.2465277777778 52.5616666666667 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
216 "Toilette verlängerte Sterkrader Str." Berlin "Flughafensee Tegel , Schwarzer Weg" 13507 Deutschland 13.2855277777778 52.5707777777778 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
217 "Toilette Zufahrt Insel Scharfenberg/Freibad Tegeler See (ex. Strandbad Tegel)" Berlin "Schwarzer Weg" 13505 Deutschland 13.2432222222222 52.576 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
218 "Toilette Revierförsterei Tegelsee/Parkplatz (ex. Revierförsterei Tegel Schwarzer Weg)" Berlin "Schwarzer Weg" 13505 Deutschland 13.2538055555556 52.5853888888889 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
219 "Toilette Uferweg (Große Badewiese) (ex. Große Badewiese/Waldschluchtpfad)" Berlin "verlängerter Waldschluchtpfad" 14089 Deutschland 13.1815555555556 52.4698333333333 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
220 "Toilette Haus Nr. 15 (ex. Groß Glienicker See/Badewiese)" Berlin "Groß Glienicker See , Uferpromenade" 14089 Deutschland 13.119 52.4711944444445 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
221 "Toilette Im Dohl (Groß Glienicker See/DLRG-Wasserrettungsstation) (ex. Groß Glienicker See/Pferdek.)" Berlin "Groß Glienicker See , verlängerte Uferpromenade" 14089 Deutschland 13.1154583333333 52.46125 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
222 "Toilette Bürgerablage (Badestelle)" Berlin "Bürgerablage , Niederneuendorfer Allee" 13587 Deutschland 13.2100833333333 52.5852222222222 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
223 "Toilette Uferpromenade (ex. Aalemannkanal)" Berlin Rustweg 13587 Deutschland 13.2191666666667 52.5753888888889 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
224 "Toilette Tiergarten-Unterschleuse (ex. Tiergarten Schleuse)" Berlin "Großer Tiergarten , Tiergartenufer" 10787 Deutschland 13.3367222222222 52.5126111111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
225 "Toilette Spreeweg (Tiergarten Spielplatz) (ex. Tiergarten Spielplatz)" Berlin "Großer Tiergarten , Bellevueallee" 10557 Deutschland 13.3566388888889 52.5163333333333 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
226 "Toilette Transvaalstr. (Plötzensee/Volkspark Rehberge) (ex. Dohnagestell / Plötzensee)" Berlin Dohnagestell 13351 Deutschland 13.3299722222222 52.5467222222222 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
227 "Toilette Hüttenweg/AVUS A115" Berlin Kronprinzessinnenweg 14193 Deutschland 13.23525 52.4689722222222 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
228 "Toilette (Wanderwegekreuzung mit Umgehungschaussee) (ex.Grunewaldsee Ost)" Berlin Grunewaldsee-Ostufer 14193 Deutschland 13.2661111111111 52.4718055555556 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
229 "Toilette Parkplatz Lieper Bucht (ex. Lieper Bucht/Parkplatz Havelchaussee)" Berlin Havelchaussee 14193 Deutschland 13.1981666666667 52.4695 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
230 "Toilette Friedenthalpark (Badewiese Halensee) (ex. Halensee/Badewiese)" Berlin "Halensee , Halenseestr." 14193 Deutschland 13.2833333333333 52.4956111111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
231 "Toilette Neuer Schildhornweg (Badewiese Teufelssee) (ex. Teufelssee)" Berlin "Teufelssee , Schildhornweg" 14193 Deutschland 13.2346944444444 52.4895277777778 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
232 "Toilette Parkplatz Große Steinlake" Berlin Havelchaussee 14109 Deutschland 13.1898888888889 52.4545833333333 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
233 "Toilette Wasserrettungsstation Heckeshorn/Großer Wannsee" Berlin "Heckeshorn , Uferweg" 14109 Deutschland 13.1650555555556 52.4348055555555 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
234 "Toilette Pfaueninselchaussee (Wasserrettungsstation Jagen 97)" Berlin Uferpromenade 14109 Deutschland 13.1294166666667 52.4293888888889 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
235 "Toilette Heuweg (Wasserrettungsstation Alter Hof/Jagen 95)" Berlin Uferpromenade 14109 Deutschland 13.1432222222222 52.4324166666667 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
236 "Toilette Parkplatz Südufer Krumme Lanke" Berlin "Krumme Lanke , Fischerhüttenweg" 14193 Deutschland 13.2288333333333 52.44775 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
237 "Toilette Paul-Ernst-Park (Schlachtensee)" Berlin "Schlachtensee , Am Schlachtensee" 14129 Deutschland 13.2154722222222 52.4407777777778 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
238 "Toilette Schönhauser Allee" Berlin "Senefelderplatz , Metzer Str." 10119 Deutschland 13.4128888888889 52.5324444444444 1 0 Kostenlos 0 0 0 0 "Cafe Achreck"
239 "Toilette Haus Nr. 59 (Badestelle/Rettungsstelle Havel) (ex. Heiligensee/Badewiese)" Berlin "Sandhauser Str." 13503 Deutschland 13.2215555555556 52.5943611111111 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
240 "Toilette Dr.-Kleusberg-Promenade" Berlin "Scharfe Lanke" 13589 Deutschland 13.18521 52.50165 1 0 Kostenlos 0 0 0 0 "weitere ÖTs (z.B. Sanitärcontainer)"
241 "Wall CT, Alfred-Scholz-Platz, Richardstr." Berlin "Alfred-Scholz-Platz, Richardstr." 12043 Deutschland 13.438141 52.478802 1 1 "50 Cent" 1 0 1 0 "City Toilette"
242 "Toilette Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) " Berlin "Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) " 10117 Deutschland 13.38045 52.51376 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
243 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 10965 Deutschland 13.40874 52.4793 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
244 "Toilette Wannsee (Sommerbetrieb)" Berlin "Wannsee (Sommerbetrieb)" 14129 Deutschland 13.17935 52.43684 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
245 "Toilette Leopoldplatz (Schulstraße | Turiner Straße)" Berlin "Leopoldplatz (Schulstraße | Turiner Straße)" 13347 Deutschland 13.36125 52.54789 0 1 "10 Cent" 1 0 0 0 "Toilette nicht von Wall"
246 "Toilette Volkspark Friedrichshain | Neuer Hain" Berlin "Volkspark Friedrichshain | Neuer Hain" 10249 Deutschland 13.43486 52.52773 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
247 "Toilette Oranienplatz" Berlin Oranienplatz 10969 Deutschland 13.41514 52.50263 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
248 "Toilette Cuvrystraße" Berlin Cuvrystraße 10997 Deutschland 13.44417 52.49827 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
249 "Toilette Mariannenplatz" Berlin Mariannenplatz 10997 Deutschland 13.42465 52.5031 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
250 "Toilette Kleiner Tiergarten | Stromstraße" Berlin "Kleiner Tiergarten | Stromstraße" 10551 Deutschland 13.34312 52.52585 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
251 "Toilette Ehemaliger Garnisonfriedhof | Müllerstraße " Berlin "Ehemaliger Garnisonfriedhof | Müllerstraße " 13347 Deutschland 13.35924 52.54892 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
252 "Toilette Park am Gleisdreieck" Berlin "Park am Gleisdreieck" 10963 Deutschland 13.37306 52.49629 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
253 "Toilette Park am Gleisdreieck" Berlin "Park am Gleisdreieck" 10963 Deutschland 13.3769 52.49502 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
254 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 12049 Deutschland 13.41755 52.47681 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
255 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 12049 Deutschland 13.41766 52.47019 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
256 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 12101 Deutschland 13.38677 52.4713 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
257 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 10965 Deutschland 13.40995 52.4794 0 1 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
258 "Toilette Tempelhofer Feld" Berlin "Tempelhofer Feld" 10965 Deutschland 13.40423 52.4817 0 0 Kostenlos 0 0 0 0 "Toilette nicht von Wall"
