 Description City Street PostalCode Country Longitude Latitude isOwnedByWall isHandicappedAccessible Price canBePayedWithCoins canBePayedInApp canBePayedWithNFC hasChangingTable LabelID
32 "Wall CT, Brauerstr." Berlin Brauerstr. 12209 Deutschland 13.326157 52.427696 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
33 "Wall CT, S-Bhf. Grünau, Wassersportallee" Berlin "S-Bhf. Grünau, Wassersportallee" 12527 Deutschland 13.574246 52.413678 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
34 "Wall CT, Sterndamm" Berlin Sterndamm 12487 Deutschland 13.50934272 52.45369117 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
35 "Wall CT, S-Bhf. Köpenick, Stellingdamm" Berlin "S-Bhf. Köpenick, Stellingdamm" 12555 Deutschland 13.5802191173496 52.4588468714187 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
36 "Wall CT, Kiefholzstr." Berlin Kiefholzstr. 12437 Deutschland 13.4868053644179 52.4658911727311 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
37 "Wall CT, Plesser Str." Berlin "Plesser Str." 12435 Deutschland 13.4511497884872 52.4890646412465 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
38 "Wall CT, Schivelbeiner Str." Berlin "Schivelbeiner Str." 10439 Deutschland 13.41343229 52.55067675 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
39 "Wall CT, Bornholmer Str." Berlin "Bornholmer Str." 10439 Deutschland 13.41329416 52.55375525 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
40 "Wall CT, Steglitzer Damm" Berlin "Steglitzer Damm" 12167 Deutschland 13.3362051601007 52.4510085070607 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
41 "Wall CT, Leonorenstr." Berlin Leonorenstr. 12247 Deutschland 13.3431152369142 52.4389576397892 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
42 "Wall CT, Platz der Luftbrücke, Tempelhofer Damm" Berlin "Platz der Luftbrücke, Tempelhofer Damm" 12101 Deutschland 13.3868324212871 52.4842403167076 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
43 "Wall CT, Kurt-Schumacher-Platz, Scharnweberstr." Berlin "Kurt-Schumacher-Platz, Scharnweberstr." 13405 Deutschland 13.3267155793166 52.5639195878818 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
44 "Wall CT, Gudrunstr." Berlin Gudrunstr. 10365 Deutschland 13.50882 52.51505 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
45 "Wall CT, Urbanstr." Berlin Urbanstr. 10961 Deutschland 13.4085659005121 52.4927440515212 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
46 "Wall CT, Platz der Vereinten Nationen, Landsberger Allee" Berlin "Platz der Vereinten Nationen, Landsberger Allee" 10249 Deutschland 13.4329856332671 52.5235085677499 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
47 "Wall CT, Wühlischplatz, Wühlischstr." Berlin "Wühlischplatz, Wühlischstr." 10245 Deutschland 13.4639155114 52.5079000373 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
48 "Wall CT, Grellstr." Berlin Grellstr. 10409 Deutschland 13.4382226755741 52.5414832231387 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
49 "Wall CT, Bülowstr." Berlin Bülowstr. 10829 Deutschland 13.3669141154753 52.4938516883151 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
50 "Wall CT, Weddingplatz, Reinickendorfer Str." Berlin "Weddingplatz, Reinickendorfer Str." 13347 Deutschland 13.3699104981192 52.5416111409171 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
51 "Wall CT, Osloer Str." Berlin "Osloer Str." 13359 Deutschland 13.3843708022452 52.5559614063104 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
52 "Wall CT, Köllnischer Park, Rungestr." Berlin "Köllnischer Park, Rungestr." 10179 Deutschland 13.413572565667 52.5127077113696 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
53 "Wall CT, Dürerplatz" Berlin Dürerplatz 12157 Deutschland 13.3415016338287 52.4695434114471 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
54 "Wall CT, Priesterweg" Berlin Priesterweg 12157 Deutschland 13.355711 52.459251 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
55 "Wall CT, Marienfelder Allee" Berlin "Marienfelder Allee" 12277 Deutschland 13.3631543938859 52.4134984395888 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
56 "Wall CT, Friedrichstr." Berlin Friedrichstr. 10969 Deutschland 13.391234 52.501269 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
57 "Wall CT, Im Domstift" Berlin "Im Domstift" 12309 Deutschland 13.4101617301817 52.3877787779863 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
58 "Wall CT, Nöldnerplatz, Archibaldweg" Berlin "Nöldnerplatz, Archibaldweg" 10317 Deutschland 13.48398 52.50302 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
59 "Wall CT, Marzahner Promenade (Fußgängerzone)" Berlin "Marzahner Promenade (Fußgängerzone)" 12679 Deutschland 13.549245 52.544367 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
60 "Wall CT, Waldstr." Berlin Waldstr. 10551 Deutschland 13.3306064855452 52.5274148885999 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
61 "Wall CT, Hugenottenplatz, Schweizer Tal" Berlin "Hugenottenplatz, Schweizer Tal" 13127 Deutschland 13.4205648128286 52.6071445264468 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
62 "Wall CT, Roseneck, Hundekehlestr." Berlin "Roseneck, Hundekehlestr." 14199 Deutschland 13.281976346854 52.4769410549611 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
63 "Wall CT, Wilhelminenhofstr." Berlin Wilhelminenhofstr. 12459 Deutschland 13.5266717549591 52.4585928594435 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
64 "Wall CT, Bundesallee, Friedrich-Wilhelm-Platz" Berlin "Bundesallee, Friedrich-Wilhelm-Platz" 12161 Deutschland 13.3279317674284 52.4725628119395 1 1 "50 Cent" 1 1 1 0 "berliner Toilette"
