Longitude	Latitude
13,24057481	52,45358117
13,43050531	52,55108292
13,19922876	52,43650689
13,16485933	52,54883988
13,20776401	52,53735111
13,36647416	52,45960764
13,314755	52,473363
13,363288	52,481146
13,48005605	52,48551872
13,46334589	52,49342186
13,306683	52,5078805
13,26015043	52,51614784
13,29939664	52,49529797
13,39051341	52,54474837
13,3355016	52,52499595
13,28855267	52,58809291
13,33233623	52,59754508
13,42739337	52,52711565
13,46108994	52,51995535
13,49426207	52,54559582
13,47697618	52,51314661
13,14391838	52,45375126
13,5884471	52,52086724
13,56583554	52,57009937
13,46317976	52,42383789
13,44538488	52,4740719
13,417025	52,53558335
13,41353517	52,55983408
13,38791218	52,44015873
13,35281188	52,48432516
13,24017109	52,44234287
13,259629	52,430962
13,326157	52,427696
13,574246	52,413678
13,50934272	52,45369117
13,58021912	52,45884687
13,48680536	52,46589117
13,45114979	52,48906464
13,41343229	52,55067675
13,41329416	52,55375525
13,33620516	52,45100851
13,34311524	52,43895764
13,38683242	52,48424032
13,32671558	52,56391959
13,50882	52,51505
13,4085659	52,49274405
13,43298563	52,52350857
13,46391551	52,50790004
13,43822268	52,54148322
13,36691412	52,49385169
13,3699105	52,54161114
13,3843708	52,55596141
13,41357257	52,51270771
13,34150163	52,46954341
13,355711	52,459251
13,36315439	52,41349844
13,391234	52,501269
13,41016173	52,38777878
13,48398	52,50302
13,549245	52,544367
13,33060649	52,52741489
13,42056481	52,60714453
13,28197635	52,47694105
13,52667175	52,45859286
13,32793177	52,47256281
13,48851	52,617635
13,72100464	52,43908174
13,30926853	52,47332458
13,4993597	52,51063188
13,46065563	52,51069716
13,30866482	52,46723679
13,51389091	52,46463708
13,240857	52,525505
13,30931569	52,43090189
13,34910572	52,45855306
13,30486876	52,41756857
13,34281826	52,45068359
13,50467113	52,5733301
13,52601743	52,48132515
13,40042936	52,52199959
13,25655556	52,56813889
13,60335231	52,53191205
13,37599736	52,45591139
13,37109775	52,42251984
13,4007839	52,5116669
13,42529799	52,4876315
13,28900793	52,6319858
13,53926	52,43443
13,20563531	52,54143399
13,32505638	52,49401382
13,55491781	52,51342021
13,34347128	52,47867558
13,64932986	52,375817
13,35362219	52,494878
13,31733472	52,50148069
13,40023511	52,58067317
13,263703	52,487504
13,57488685	52,51290074
13,59157784	52,52941862
13,60470183	52,53938547
13,60107193	52,53581896
13,19701243	52,52440937
13,20111111	52,53833333
13,37428942	52,50557041
13,49460645	52,63565558
13,41194057	52,54305267
13,45874385	52,55557439
13,46431748	52,4703125
13,35159522	52,55038285
13,322725	52,505252
13,52751847	52,4109873
13,39849866	52,38651785
13,29402034	52,53625419
13,14891875	52,452525
13,30265926	52,50534718
13,3483289	52,55611129
13,43685584	52,46616766
13,43455729	52,51147737
13,54735	52,500953
13,41865976	52,54289974
13,32143252	52,45726951
13,37553913	52,51637202
13,42732495	52,54586698
13,43710799	52,53359529
13,38126945	52,51660919
13,40542608	52,54676503
13,45063157	52,50761974
13,2435201	52,512991
13,24459	52,51562
13,240781	52,5121801
13,47069502	52,53100821
13,33677778	52,50455556
13,47958581	52,5189996
13,60117246	52,48255179
13,41819811	52,4986247
13,56090832	52,50593948
13,28278846	52,58985277
13,46437459	52,48746676
13,46625556	52,55261485
13,29035651	52,51879627
13,36306169	52,49987905
13,43031102	52,49996024
13,62535	52,457726
13,49979154	52,5110008
13,41165058	52,56722589
13,385392	52,470273
13,42199925	52,47758451
13,42089017	52,54864128
13,39527778	52,53977778
13,43890576	52,47371414
13,46902428	52,51123154
13,34809497	52,52609309
13,27262246	52,58902407
13,32828671	52,47900696
13,45201026	52,45215771
13,44733616	52,51144617
13,3915		52,51416667
13,398054	52,490534
13,35593646	52,555437
13,49774032	52,41580884
13,43915689	52,49505807
13,53803013	52,52796839
13,33693	52,480497
13,27259722	52,58909756
13,3586066	52,5470043
13,40734653	52,57025395
13,4284121	52,47991335
13,29041806	52,47575169
13,32748453	52,48647695
13,34272706	52,50246763
13,46589437	52,55719695
13,20042906	52,53547008
13,37816284	52,52895757
13,48398	52,50302
13,38566639	52,44438319
13,38576765	52,44438046
13,377623	52,463965
13,32239001	52,49714131
13,33763709	52,55885577
13,37798815	52,55068347
13,39989808	52,51946733
13,30438889	52,52552778
13,33611111	52,50494444
13,33086111	52,50333333
13,24402778	52,51422222
13,23063889	52,51361111
13,272577	52,509679
13,62458333	52,45066667
13,37786111	52,4875
13,412954	52,521463
13,40641667	52,51847222
13,44738889	52,43736111
13,438239	52,482874
13,36380556	52,56416667
13,23827778	52,54447222
13,26988889	52,53784722
13,16316667	52,52125
13,20548611	52,53763889
13,20502778	52,53686111
13,31208333	52,44266667
13,34522222	52,51555556
13,34841667	52,51423611
13,310916	52,493104
13,326417	52,48288
13,17622222	52,42147222
13,39090278	52,48852778
13,44138889	52,47155556
13,30761111	52,61613889
13,283026	52,590697
13,386907	52,438695
13,34701389	52,53352778
13,33677778	52,53322222
13,35325	52,53990278
13,22763889	52,5065
13,30673611	52,51016667
13,24652778	52,56166667
13,28552778	52,57077778
13,24322222	52,576
13,25380556	52,58538889
13,18155556	52,46983333
13,119		52,47119444
13,11545833	52,46125
13,21008333	52,58522222
13,21916667	52,57538889
13,33672222	52,51261111
13,35663889	52,51633333
13,32997222	52,54672222
13,23525	52,46897222
13,26611111	52,47180556
13,19816667	52,4695
13,28333333	52,49561111
13,23469444	52,48952778
13,18988889	52,45458333
13,16505556	52,43480556
13,12941667	52,42938889
13,14322222	52,43241667
13,22883333	52,44775
13,21547222	52,44077778
13,41288889	52,53244444
13,22155556	52,59436111
13,18521	52,50165
13,438141	52,478802
13,38045	52,51376
13,40874	52,4793
13,17935	52,43684
13,36125	52,54789
13,43486	52,52773
13,41514	52,50263
13,44417	52,49827
13,42465	52,5031
13,34312	52,52585
13,35924	52,54892
13,37306	52,49629
13,3769		52,49502
13,41755	52,47681
13,41766	52,47019
13,38677	52,4713
13,40995	52,4794
13,40423	52,4817
