Street	PostalCode	Longitude	Latitude	Description
Am Treptower Park	12435	13,46437459	52,48746676	Wall CT, Am Treptower Park
Berliner Allee	13086	13,46625556	52,55261485	Wall CT, Berliner Allee
Klausenerplatz	14059	13,29035651	52,51879627	Wall CT, Klausenerplatz
Potsdamer Str.	10785	13,36306169	52,49987905	Wall CT, Potsdamer Str.
Lausitzer Platz	10997	13,43031102	52,49996024	Wall CT, Lausitzer Platz
S-Bhf. Friedrichshagen, Dahlwitzer Landstr.	12587	13,62535	52,457726	Wall CT, S-Bhf. Friedrichshagen, Dahlwitzer Landstr.
Weitlingstr.	10317	13,49979154	52,5110008	Wall CT, Weitlingstr.
S-Bhf. Pankow DB Florastr., Garbatyplatz	13187	13,41165058	52,56722589	Wall CT, S-Bhf. Pankow DB Florastr., Garbatyplatz
S-u. U-Bhf. Tempelhof, Tempelhofer Damm	12099	13,385392	52,470273	Wall CT, S-u. U-Bhf. Tempelhof, Tempelhofer Damm
Schillerpromenade	12049	13,42199925	52,47758451	Wall CT, Schillerpromenade
Wichertstr.	10439	13,42089017	52,54864128	Wall CT, Wichertstr.
Stralsunder Str. (Fußgängerzone)	12623	13,39527778	52,53977778	Wall CT, Stralsunder Str. (Fußgängerzone)
Thomashöhe, Thomasstr.	12053	13,43890576	52,47371414	Wall CT, Thomashöhe, Thomasstr.
Traveplatz, Weichselstr.	10247	13,46902428	52,51123154	Wall CT, Traveplatz, Weichselstr.
Turmstr.	10178	13,34809497	52,52609309	Wall CT, Turmstr.
Greenwichpromenade	13507	13,27262246	52,58902407	Wall CT, Greenwichpromenade
Bundesallee, Bundesplatz	10715	13,32828671	52,47900696	Wall CT, Bundesallee, Bundesplatz
Buschkrugallee	12359	13,45201026	52,45215771	Wall CT, Buschkrugallee
Comeniusplatz , Torellstr.	10243	13,44733616	52,51144617	Wall CT, Comeniusplatz , Torellstr.
Charlottenstr.	10117	13,3915	52,51416667	Wall CT, Charlottenstr.
Gneisenaustr.	10961	13,398054	52,490534	Wall CT, Gneisenaustr.
Ungarnstr.	13349	13,35593646	52,555437	Wall CT, Ungarnstr.
Waltersdorfer Chaussee	12355	13,49774032	52,41580884	Wall CT, Waltersdorfer Chaussee
Görlitzer Park, Wiener Str.	10999	13,43915689	52,49505807	Wall CT, Görlitzer Park, Wiener Str.
Helene-Weigel-Platz	12681	13,53803013	52,52796839	Wall CT, Helene-Weigel-Platz
Hans-Rosenthal-Platz , Kufsteiner Str.	10825	13,33693	52,480497	Wall CT, Hans-Rosenthal-Platz , Kufsteiner Str.
Greenwichpromenade	13507	13,27259722	52,58909756	Wall CT, Greenwichpromenade
Leopoldplatz, Müllerstr.	13353	13,3586066	52,5470043	Wall CT, Leopoldplatz, Müllerstr.
Breite Str.	13187	13,40734653	52,57025395	Wall CT, Breite Str.
Boddinplatz, Mainzer Str.	12053	13,4284121	52,47991335	Wall CT, Boddinplatz, Mainzer Str.
Berkaer Str.	14199	13,29041806	52,47575169	Wall CT, Berkaer Str.
Badensche Str.	10715	13,32748453	52,48647695	Wall CT, Badensche Str.
Wittenbergplatz, Ansbacher Str.	10789	13,34272706	52,50246763	Wall CT, Wittenbergplatz, Ansbacher Str.
Rennbahnstr.	13086	13,46589437	52,55719695	Wall CT, Rennbahnstr.
Rathaus Spandau, Altstädter Ring	13597	13,20042906	52,53547008	Wall CT, Rathaus Spandau, Altstädter Ring
Invalidenstr.	10117	13,37816284	52,52895757	Wall CT, Invalidenstr.
Nöldnerplatz, Archibaldweg	10317	13,48398	52,50302	Wall CT, Nöldnerplatz, Archibaldweg
Mariendorfer Damm	12099	13,38566639	52,44438319	Wall CT, Mariendorfer Damm
Mariendorfer Damm	12099	13,38576765	52,44438046	Wall CT, Mariendorfer Damm
Bosepark, Manteuffelstr.	12103	13,377623	52,463965	Wall CT, Bosepark, Manteuffelstr.
Ludwigkirchplatz	10719	13,32239001	52,49714131	Wall CT, Ludwigkirchplatz
Londoner Str.	13349	13,33763709	52,55885577	Wall CT, Londoner Str.
Pankstr.	13357	13,37798815	52,55068347	Wall CT, Pankstr.
Museumsinsel, Am Lustgarten	10178	13,39989808	52,51946733	Wall CT, Museumsinsel, Am Lustgarten
Mierendorffplatz	10589	13,30438889	52,52552778	Toilette Osnabrücker Str.
Breitscheidplatz	10789	13,33611111	52,50494444	Toilette Budapester Str.
Joachimsthaler Platz, Kurfürstendamm	10719	13,33086111	52,50333333	Toilette Joachimsthaler Str.
Olympiastadion, Gutsmuthsweg	14053	13,24402778	52,51422222	Toilette Olympischer Platz
Waldbühne/Maifeld, Passenheimer Str.	14053	13,23063889	52,51361111	Toilette Glockenturmstr. 1
Theodor-Heuss-Platz	14052	13,272577	52,509679	Toilette Reichsstr.
Bölschestr.	12587	13,62458333	52,45066667	Toilette Aßmannstr. (Marktplatz Friedrichshagen)
Viktoriapark	10965	13,37786111	52,4875	Toilette Spielplatz
Alexanderplatz	10178	13,412954	52,521463	Toilette
Rathausstr.	10178	13,40641667	52,51847222	Toilette Spandauer Str. (ggü. Nikolaiviertel)
Britz-Süd , Fritz-Reuter-Allee	12351	13,44738889	52,43736111	Toilette Gutschmidtstr. (am U-Bhf.)
Elbestr.	12045	13,438239	52,482874	Toilette Sonnenallee
Schäfersee , Am Schäfersee	13407	13,36380556	52,56416667	Toilette Residenzstr.
Haselhorster Damm	13599	13,23827778	52,54447222	Toilette Burscheider Weg
Jugendplatz , Jugendweg	13629	13,26988889	52,53784722	Toilette Quellweg
Magistratsweg	13593	13,16316667	52,52125	Toilette Obstallee
Mönchstr.	13597	13,20548611	52,53763889	Toilette Breite Str.
Spandauer Markt , Markt	13597	13,20502778	52,53686111	Toilette Breite Str.
Moltkestr.	12203	13,31208333	52,44266667	Toilette Holbeinstr. (Ludwig-Beck-Platz)
Altonaer Str.	10557	13,34522222	52,51555556	Toilette Oswald-Schumann-Platz (Tiergarten)
Großer Stern (Haus C) , Str. des 17. Juni	10785	13,34841667	52,51423611	Toilette Großer Stern
Preußenpark , Brandenburgische Str.	10707	13,310916	52,493104	Toilette Konstanzer Str.
Volkspark Wilmersdorf , Am Volkspark	10715	13,326417	52,48288	Toilette Livländische Str.
Wannsee , Rönnebypromenade	14109	13,17622222	52,42147222	Toilette Anlegestelle Wannsee (hi. Kronprinzessinenweg)
Chamissoplatz	10965	13,39090278	52,48852778	Toilette Arndtstr.
Kirchhofstr.	12051	13,44138889	52,47155556	Toilette Karl-Marx-Str.
Fellbacher Platz , Heinsestr.	13467	13,30761111	52,61613889	Toilette Fellbacher Str.
Berliner Str.	13507	13,283026	52,590697	Toilette Schloßstr.
Friedenstr.	12107	13,386907	52,438695	Toilette Mariendorfer Damm
Stephanplatz , Stephanstr.	10559	13,34701389	52,53352778	Toilette Havelberger Str.
Unionplatz , Siemensstr.	10551	13,33677778	52,53322222	Toilette Oldenburger Str.
Pekinger Platz , Nordufer	13353	13,35325	52,53990278	Toilette Kiautschoustr.
Heerstr.	14055	13,22763889	52,5065	Toilette Scholzplatz stew. (ex. Scholzplatz)
Schillerstr.	10625	13,30673611	52,51016667	Toilette Wilmersdorfer Str. staw. (Parkplatz)
Im Saatwinkel	13599	13,24652778	52,56166667	Toilette Haus Nr. 63-65 (Badestelle Saatwinkel) (ex. Saatwinkel)
Flughafensee Tegel , Schwarzer Weg	13507	13,28552778	52,57077778	Toilette verlängerte Sterkrader Str.
Schwarzer Weg	13505	13,24322222	52,576	Toilette Zufahrt Insel Scharfenberg/Freibad Tegeler See (ex. Strandbad Tegel)
Schwarzer Weg	13505	13,25380556	52,58538889	Toilette Revierförsterei Tegelsee/Parkplatz (ex. Revierförsterei Tegel Schwarzer Weg)
verlängerter Waldschluchtpfad	14089	13,18155556	52,46983333	Toilette Uferweg (Große Badewiese) (ex. Große Badewiese/Waldschluchtpfad)
Groß Glienicker See , Uferpromenade	14089	13,119	52,47119444	Toilette Haus Nr. 15 (ex. Groß Glienicker See/Badewiese)
Groß Glienicker See , verlängerte Uferpromenade	14089	13,11545833	52,46125	Toilette Im Dohl (Groß Glienicker See/DLRG-Wasserrettungsstation) (ex. Groß Glienicker See/Pferdek.)
Bürgerablage , Niederneuendorfer Allee	13587	13,21008333	52,58522222	Toilette Bürgerablage (Badestelle)
Rustweg	13587	13,21916667	52,57538889	Toilette Uferpromenade (ex. Aalemannkanal)
Großer Tiergarten , Tiergartenufer	10787	13,33672222	52,51261111	Toilette Tiergarten-Unterschleuse (ex. Tiergarten Schleuse)
Großer Tiergarten , Bellevueallee	10557	13,35663889	52,51633333	Toilette Spreeweg (Tiergarten Spielplatz) (ex. Tiergarten Spielplatz)
Dohnagestell	13351	13,32997222	52,54672222	Toilette Transvaalstr. (Plötzensee/Volkspark Rehberge) (ex. Dohnagestell / Plötzensee)
Kronprinzessinnenweg	14193	13,23525	52,46897222	Toilette Hüttenweg/AVUS A115
Grunewaldsee-Ostufer	14193	13,26611111	52,47180556	Toilette (Wanderwegekreuzung mit Umgehungschaussee) (ex.Grunewaldsee Ost)
Havelchaussee	14193	13,19816667	52,4695	Toilette Parkplatz Lieper Bucht (ex. Lieper Bucht/Parkplatz Havelchaussee)
Halensee , Halenseestr.	14193	13,28333333	52,49561111	Toilette Friedenthalpark (Badewiese Halensee) (ex. Halensee/Badewiese)
Teufelssee , Schildhornweg	14193	13,23469444	52,48952778	Toilette Neuer Schildhornweg (Badewiese Teufelssee) (ex. Teufelssee)
Havelchaussee	14109	13,18988889	52,45458333	Toilette Parkplatz Große Steinlake
Heckeshorn , Uferweg	14109	13,16505556	52,43480556	Toilette Wasserrettungsstation Heckeshorn/Großer Wannsee
Uferpromenade	14109	13,12941667	52,42938889	Toilette Pfaueninselchaussee (Wasserrettungsstation Jagen 97)
Uferpromenade	14109	13,14322222	52,43241667	Toilette Heuweg (Wasserrettungsstation Alter Hof/Jagen 95)
Krumme Lanke , Fischerhüttenweg	14193	13,22883333	52,44775	Toilette Parkplatz Südufer Krumme Lanke
Schlachtensee , Am Schlachtensee	14129	13,21547222	52,44077778	Toilette Paul-Ernst-Park (Schlachtensee)
Senefelderplatz , Metzer Str.	10119	13,41288889	52,53244444	Toilette Schönhauser Allee
Sandhauser Str.	13503	13,22155556	52,59436111	Toilette Haus Nr. 59 (Badestelle/Rettungsstelle Havel) (ex. Heiligensee/Badewiese)
Scharfe Lanke	13589	13,18521	52,50165	Toilette Dr.-Kleusberg-Promenade
Alfred-Scholz-Platz, Richardstr.	12043	13,438141	52,478802	Wall CT, Alfred-Scholz-Platz, Richardstr.
Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) 	10117	13,38045	52,51376	Toilette Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) 
Tempelhofer Feld	10965	13,40874	52,4793	Toilette Tempelhofer Feld
Wannsee (Sommerbetrieb)	14129	13,17935	52,43684	Toilette Wannsee (Sommerbetrieb)
Leopoldplatz (Schulstraße | Turiner Straße)	13347	13,36125	52,54789	Toilette Leopoldplatz (Schulstraße | Turiner Straße)
Volkspark Friedrichshain | Neuer Hain	10249	13,43486	52,52773	Toilette Volkspark Friedrichshain | Neuer Hain
Oranienplatz	10969	13,41514	52,50263	Toilette Oranienplatz
Cuvrystraße	10997	13,44417	52,49827	Toilette Cuvrystraße
Mariannenplatz	10997	13,42465	52,5031	Toilette Mariannenplatz
Kleiner Tiergarten | Stromstraße	10551	13,34312	52,52585	Toilette Kleiner Tiergarten | Stromstraße
Ehemaliger Garnisonfriedhof | Müllerstraße 	13347	13,35924	52,54892	Toilette Ehemaliger Garnisonfriedhof | Müllerstraße 
Park am Gleisdreieck	10963	13,37306	52,49629	Toilette Park am Gleisdreieck
Park am Gleisdreieck	10963	13,3769	52,49502	Toilette Park am Gleisdreieck
Tempelhofer Feld	12049	13,41755	52,47681	Toilette Tempelhofer Feld
Tempelhofer Feld	12049	13,41766	52,47019	Toilette Tempelhofer Feld
Tempelhofer Feld	12101	13,38677	52,4713	Toilette Tempelhofer Feld
Tempelhofer Feld	10965	13,40995	52,4794	Toilette Tempelhofer Feld
Tempelhofer Feld	10965	13,40423	52,4817	Toilette Tempelhofer Feld
